analysis_id,parameter,fold_value,infln,seed,class,sample_size,corr_strength,indicator,Significance
p_1_spearman_False_0_FP_50_1,p,1,False,0,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_1_FP_50_1,p,1,False,1,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_2_FP_50_1,p,1,False,2,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_3_FP_50_1,p,1,False,3,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_4_FP_50_1,p,1,False,4,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_5_FP_50_1,p,1,False,5,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_6_FP_50_1,p,1,False,6,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_7_FP_50_1,p,1,False,7,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_8_FP_50_1,p,1,False,8,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_9_FP_50_1,p,1,False,9,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_10_FP_50_1,p,1,False,10,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_11_FP_50_1,p,1,False,11,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_12_FP_50_1,p,1,False,12,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_13_FP_50_1,p,1,False,13,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_14_FP_50_1,p,1,False,14,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_15_FP_50_1,p,1,False,15,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_16_FP_50_1,p,1,False,16,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_17_FP_50_1,p,1,False,17,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_18_FP_50_1,p,1,False,18,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_19_FP_50_1,p,1,False,19,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_20_FP_50_1,p,1,False,20,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_21_FP_50_1,p,1,False,21,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_22_FP_50_1,p,1,False,22,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_23_FP_50_1,p,1,False,23,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_24_FP_50_1,p,1,False,24,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_25_FP_50_1,p,1,False,25,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_26_FP_50_1,p,1,False,26,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_27_FP_50_1,p,1,False,27,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_28_FP_50_1,p,1,False,28,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_29_FP_50_1,p,1,False,29,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_30_FP_50_1,p,1,False,30,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_31_FP_50_1,p,1,False,31,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_32_FP_50_1,p,1,False,32,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_33_FP_50_1,p,1,False,33,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_34_FP_50_1,p,1,False,34,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_35_FP_50_1,p,1,False,35,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_36_FP_50_1,p,1,False,36,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_37_FP_50_1,p,1,False,37,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_38_FP_50_1,p,1,False,38,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_39_FP_50_1,p,1,False,39,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_40_FP_50_1,p,1,False,40,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_41_FP_50_1,p,1,False,41,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_42_FP_50_1,p,1,False,42,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_43_FP_50_1,p,1,False,43,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_44_FP_50_1,p,1,False,44,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_45_FP_50_1,p,1,False,45,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_46_FP_50_1,p,1,False,46,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_47_FP_50_1,p,1,False,47,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_48_FP_50_1,p,1,False,48,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_49_FP_50_1,p,1,False,49,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_50_FP_50_1,p,1,False,50,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_51_FP_50_1,p,1,False,51,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_52_FP_50_1,p,1,False,52,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_53_FP_50_1,p,1,False,53,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_54_FP_50_1,p,1,False,54,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_55_FP_50_1,p,1,False,55,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_56_FP_50_1,p,1,False,56,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_57_FP_50_1,p,1,False,57,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_58_FP_50_1,p,1,False,58,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_59_FP_50_1,p,1,False,59,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_60_FP_50_1,p,1,False,60,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_61_FP_50_1,p,1,False,61,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_62_FP_50_1,p,1,False,62,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_63_FP_50_1,p,1,False,63,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_64_FP_50_1,p,1,False,64,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_65_FP_50_1,p,1,False,65,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_66_FP_50_1,p,1,False,66,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_67_FP_50_1,p,1,False,67,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_68_FP_50_1,p,1,False,68,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_69_FP_50_1,p,1,False,69,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_70_FP_50_1,p,1,False,70,FP,50,1.0,0.0,p < 0.05
p_1_spearman_False_71_FP_50_1,p,1,False,71,FP,50,1.0,0.0,p < 0.05
