analysis_id,parameter,fold_value,infln,seed,class,sample_size,corr_strength,indicator,Significance
p_1_pearson_False_0_NP_100_0.2,p,1,False,0,NP,100,0.2,0.0,p < 0.05
p_1_pearson_False_0_NP_100_0.21,p,1,False,0,NP,100,0.21,0.0,p < 0.05
p_1_pearson_False_0_NP_100_0.22,p,1,False,0,NP,100,0.22,0.0,p < 0.05
p_1_pearson_False_0_NP_100_0.23,p,1,False,0,NP,100,0.23,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.24,p,1,False,0,NP,100,0.24,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.25,p,1,False,0,NP,100,0.25,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.26,p,1,False,0,NP,100,0.26,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.27,p,1,False,0,NP,100,0.27,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.28,p,1,False,0,NP,100,0.28,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.29,p,1,False,0,NP,100,0.29,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.3,p,1,False,0,NP,100,0.3,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.31,p,1,False,0,NP,100,0.31,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.32,p,1,False,0,NP,100,0.32,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.33,p,1,False,0,NP,100,0.33,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.34,p,1,False,0,NP,100,0.34,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.35,p,1,False,0,NP,100,0.35,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.36,p,1,False,0,NP,100,0.36,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.37,p,1,False,0,NP,100,0.37,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.38,p,1,False,0,NP,100,0.38,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.39,p,1,False,0,NP,100,0.39,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.4,p,1,False,0,NP,100,0.4,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.41,p,1,False,0,NP,100,0.41,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.42,p,1,False,0,NP,100,0.42,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.43,p,1,False,0,NP,100,0.43,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.44,p,1,False,0,NP,100,0.44,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.45,p,1,False,0,NP,100,0.45,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.46,p,1,False,0,NP,100,0.46,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.47,p,1,False,0,NP,100,0.47,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.48,p,1,False,0,NP,100,0.48,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.49,p,1,False,0,NP,100,0.49,1.0,p < 0.05
p_1_pearson_False_0_NP_100_0.5,p,1,False,0,NP,100,0.5,1.0,p < 0.05
