,POS_A,POS_B,POS_C,POS_D,POS_E,POS_F,NEG_A,NEG_B,NEG_C,NEG_D,NEG_E,NEG_F,NEG_G,NEG_H,circCCDC66,CDR1as (ciRS-7),circCDYL,circFAT3,circFBXW7,circHIPK3,circSLC8A1,circSMARCA5,circZKSCAN1,circZNF609,circZNF91,circRP11-255H23.2,ACK1,CCNE1,CDK1,EGFR,EIF4E,FAK,FOS,HOXB13,IGF1-R,IRS1,IRS2,KLF4,MTOR,NR4A3,PAK1,PIK3CD,RAF1,RB1,SP1,YY1,LINC00632_T1,LINC00632_T2,LINC00632_T3
Colon cancer 1,97891.0,22806.0,5889.0,1480.0,353.0,134.0,21.0,11.0,6.0,15.0,21.0,18.0,10.0,8.0,98.77,1756.09,170.95,10.45,171.9,467.28,362.8,410.29,369.45,198.5,140.56,24.69,776.89,366.6,2238.56,501.47,1922.29,1968.83,13705.83,82.63,1095.06,290.62,1438.87,2140.73,1320.15,403.64,1303.06,522.36,2215.76,766.45,992.49,2362.03,20.89,2.85,33.24
Colon cancer 2,90420.0,21964.0,5718.0,1379.0,313.0,120.0,20.0,12.0,6.0,23.0,29.0,25.0,9.0,18.0,179.62,7643.87,385.24,43.45,279.52,2995.35,1742.81,1094.13,482.75,309.29,449.56,37.63,605.57,257.28,473.51,1225.85,1791.74,1404.44,13429.29,905.62,680.84,441.01,468.38,6207.27,1238.85,283.63,1563.19,131.04,2045.94,877.91,756.45,2172.18,27.71,20.53,28.74
Colon cancer 3,100374.0,24014.0,5937.0,1528.0,313.0,127.0,27.0,4.0,4.0,20.0,36.0,24.0,3.0,4.0,109.83,7231.87,206.34,14.98,234.63,1001.75,369.41,520.84,362.76,158.08,111.49,38.27,1056.66,317.83,928.53,780.43,1545.88,1708.96,22056.71,9.98,1178.13,417.67,12471.9,926.86,936.85,903.57,990.1,174.72,2286.38,963.47,913.55,2610.86,16.64,8.32,84.87
Colon cancer 4,96960.0,22654.0,5857.0,1441.0,332.0,132.0,25.0,10.0,3.0,13.0,17.0,28.0,1.0,5.0,100.34,1259.78,228.54,8.36,115.67,727.44,392.98,369.29,264.78,150.5,75.25,9.75,586.69,595.05,1672.27,569.97,1959.34,1233.3,8967.55,58.53,827.77,182.56,749.73,1142.72,1163.62,188.13,1187.31,137.96,2037.38,983.85,939.26,2335.6,18.12,4.18,22.3
Colon cancer 5,90671.0,22006.0,5488.0,1296.0,350.0,133.0,21.0,6.0,3.0,11.0,22.0,19.0,1.0,2.0,141.01,5522.5,226.28,22.96,177.09,1092.04,823.13,1013.33,236.12,344.34,193.48,16.4,1278.96,429.6,1033.01,508.31,1626.58,1269.13,18767.99,131.18,905.11,295.15,865.76,2056.18,1298.64,800.17,819.85,796.89,2374.28,669.0,1141.23,2239.83,16.4,3.28,42.63
Colon cancer 6,72361.0,17891.0,4644.0,1044.0,274.0,102.0,14.0,12.0,1.0,10.0,15.0,20.0,1.0,4.0,105.5,1305.69,288.3,13.58,161.91,718.65,554.66,350.97,324.86,141.01,313.37,37.6,1556.39,420.96,667.47,928.61,1609.66,1874.98,9026.0,71.03,1205.42,379.17,1878.11,918.16,1382.99,523.32,1334.94,164.0,2655.26,1816.48,893.09,2069.26,13.58,5.22,28.2
Colon cancer 7,113723.0,26617.0,6523.0,1632.0,426.0,157.0,22.0,13.0,2.0,18.0,28.0,30.0,4.0,2.0,108.36,7026.18,238.38,13.19,277.01,1221.12,188.45,420.23,688.77,183.73,427.77,38.63,1158.0,385.37,1714.85,727.4,1645.13,2702.3,10436.09,159.24,1147.63,220.48,1454.8,1675.28,1139.15,151.7,1305.93,151.7,1691.3,794.3,1170.24,2316.93,7.54,2.83,46.17
Colon cancer 8,122744.0,28465.0,7222.0,1761.0,404.0,168.0,20.0,11.0,7.0,11.0,30.0,39.0,1.0,2.0,120.04,4308.35,360.11,29.2,175.19,921.36,613.16,652.09,304.96,194.65,295.23,58.4,1573.46,493.12,564.5,940.83,1249.03,2241.77,18540.84,84.35,1119.26,450.95,1852.46,1758.38,1803.8,253.05,1161.44,412.02,2978.21,1219.83,1310.67,1738.91,51.91,9.73,71.37
Colon cancer 9,107535.0,24777.0,6158.0,1577.0,386.0,158.0,27.0,14.0,4.0,17.0,28.0,36.0,4.0,4.0,115.36,8088.36,314.45,22.33,240.03,1768.57,241.89,427.96,432.61,219.56,252.12,12.09,766.6,378.65,1585.3,460.52,956.39,1380.62,18281.15,35.35,765.67,227.93,1540.64,1442.95,974.06,368.41,703.34,245.61,1896.96,904.29,916.38,2048.6,15.82,1.86,127.46
Colon cancer 10,110949.0,26483.0,6365.0,1650.0,379.0,144.0,19.0,10.0,3.0,13.0,25.0,23.0,1.0,4.0,178.73,8609.93,212.08,24.01,501.52,1492.57,325.46,605.56,509.53,172.07,593.56,2.67,1659.3,382.81,920.35,666.92,1200.46,2046.11,16038.09,28.01,1153.77,612.23,1131.1,1028.39,1045.73,854.99,947.03,470.85,2799.73,1159.11,1440.55,2686.35,22.68,2.67,76.03
