Unnamed: 0,analysis_id,parameter,fold_value,cooksd,seed,class,sample_size,corr_strength,indicator,Method
526193,p_1_pearson_False_0_FP_50_0.3,p,1,False,0,FP,50,0.3,0.0,CUTIE (p < 0.05)
526194,p_1_pearson_False_0_FP_50_0.35,p,1,False,0,FP,50,0.35,0.0,CUTIE (p < 0.05)
526195,p_1_pearson_False_0_FP_50_0.4,p,1,False,0,FP,50,0.4,0.0,CUTIE (p < 0.05)
526196,p_1_pearson_False_0_FP_50_0.45,p,1,False,0,FP,50,0.45,0.0,CUTIE (p < 0.05)
526197,p_1_pearson_False_0_FP_50_0.5,p,1,False,0,FP,50,0.5,0.0,CUTIE (p < 0.05)
526198,p_1_pearson_False_0_FP_50_0.55,p,1,False,0,FP,50,0.55,0.0,CUTIE (p < 0.05)
526199,p_1_pearson_False_0_FP_50_0.6,p,1,False,0,FP,50,0.6,0.0,CUTIE (p < 0.05)
526200,p_1_pearson_False_0_FP_50_0.65,p,1,False,0,FP,50,0.65,0.0,CUTIE (p < 0.05)
526201,p_1_pearson_False_0_FP_50_0.7,p,1,False,0,FP,50,0.7,0.0,CUTIE (p < 0.05)
526202,p_1_pearson_False_0_FP_50_0.75,p,1,False,0,FP,50,0.75,0.0,CUTIE (p < 0.05)
526203,p_1_pearson_False_0_FP_50_0.8,p,1,False,0,FP,50,0.8,0.0,CUTIE (p < 0.05)
526204,p_1_pearson_False_0_FP_50_0.85,p,1,False,0,FP,50,0.85,0.0,CUTIE (p < 0.05)
526205,p_1_pearson_False_0_FP_50_0.9,p,1,False,0,FP,50,0.9,0.0,CUTIE (p < 0.05)
526206,p_1_pearson_False_0_FP_50_0.95,p,1,False,0,FP,50,0.95,0.0,CUTIE (p < 0.05)
526207,p_1_pearson_False_0_FP_50_1,p,1,False,0,FP,50,1.0,0.0,CUTIE (p < 0.05)
526368,p_1_pearson_False_1_FP_50_0.3,p,1,False,1,FP,50,0.3,0.0,CUTIE (p < 0.05)
526369,p_1_pearson_False_1_FP_50_0.35,p,1,False,1,FP,50,0.35,0.0,CUTIE (p < 0.05)
526370,p_1_pearson_False_1_FP_50_0.4,p,1,False,1,FP,50,0.4,0.0,CUTIE (p < 0.05)
526371,p_1_pearson_False_1_FP_50_0.45,p,1,False,1,FP,50,0.45,0.0,CUTIE (p < 0.05)
526372,p_1_pearson_False_1_FP_50_0.5,p,1,False,1,FP,50,0.5,0.0,CUTIE (p < 0.05)
526373,p_1_pearson_False_1_FP_50_0.55,p,1,False,1,FP,50,0.55,0.0,CUTIE (p < 0.05)
526374,p_1_pearson_False_1_FP_50_0.6,p,1,False,1,FP,50,0.6,0.0,CUTIE (p < 0.05)
526375,p_1_pearson_False_1_FP_50_0.65,p,1,False,1,FP,50,0.65,0.0,CUTIE (p < 0.05)
526376,p_1_pearson_False_1_FP_50_0.7,p,1,False,1,FP,50,0.7,0.0,CUTIE (p < 0.05)
526377,p_1_pearson_False_1_FP_50_0.75,p,1,False,1,FP,50,0.75,0.0,CUTIE (p < 0.05)
526378,p_1_pearson_False_1_FP_50_0.8,p,1,False,1,FP,50,0.8,0.0,CUTIE (p < 0.05)
526379,p_1_pearson_False_1_FP_50_0.85,p,1,False,1,FP,50,0.85,0.0,CUTIE (p < 0.05)
526380,p_1_pearson_False_1_FP_50_0.9,p,1,False,1,FP,50,0.9,0.0,CUTIE (p < 0.05)
526381,p_1_pearson_False_1_FP_50_0.95,p,1,False,1,FP,50,0.95,0.0,CUTIE (p < 0.05)
526382,p_1_pearson_False_1_FP_50_1,p,1,False,1,FP,50,1.0,0.0,CUTIE (p < 0.05)
526543,p_1_pearson_False_2_FP_50_0.3,p,1,False,2,FP,50,0.3,0.0,CUTIE (p < 0.05)
526544,p_1_pearson_False_2_FP_50_0.35,p,1,False,2,FP,50,0.35,0.0,CUTIE (p < 0.05)
526545,p_1_pearson_False_2_FP_50_0.4,p,1,False,2,FP,50,0.4,0.0,CUTIE (p < 0.05)
526546,p_1_pearson_False_2_FP_50_0.45,p,1,False,2,FP,50,0.45,0.0,CUTIE (p < 0.05)
526547,p_1_pearson_False_2_FP_50_0.5,p,1,False,2,FP,50,0.5,0.0,CUTIE (p < 0.05)
526548,p_1_pearson_False_2_FP_50_0.55,p,1,False,2,FP,50,0.55,0.0,CUTIE (p < 0.05)
526549,p_1_pearson_False_2_FP_50_0.6,p,1,False,2,FP,50,0.6,0.0,CUTIE (p < 0.05)
