Unnamed: 0,analysis_id,parameter,fold_value,cooksd,seed,class,sample_size,corr_strength,indicator,Method
526112,p_1_pearson_False_0_FN_50_0.55,p,1,False,0,FN,50,0.55,0.0,CUTIE (p < 0.05)
526113,p_1_pearson_False_0_FN_50_0.6,p,1,False,0,FN,50,0.6,1.0,CUTIE (p < 0.05)
526114,p_1_pearson_False_0_FN_50_0.65,p,1,False,0,FN,50,0.65,1.0,CUTIE (p < 0.05)
526115,p_1_pearson_False_0_FN_50_0.7,p,1,False,0,FN,50,0.7,1.0,CUTIE (p < 0.05)
526116,p_1_pearson_False_0_FN_50_0.75,p,1,False,0,FN,50,0.75,1.0,CUTIE (p < 0.05)
526117,p_1_pearson_False_0_FN_50_0.8,p,1,False,0,FN,50,0.8,1.0,CUTIE (p < 0.05)
526118,p_1_pearson_False_0_FN_50_0.85,p,1,False,0,FN,50,0.85,1.0,CUTIE (p < 0.05)
526119,p_1_pearson_False_0_FN_50_0.9,p,1,False,0,FN,50,0.9,1.0,CUTIE (p < 0.05)
526120,p_1_pearson_False_0_FN_50_0.95,p,1,False,0,FN,50,0.95,1.0,CUTIE (p < 0.05)
526121,p_1_pearson_False_0_FN_50_1,p,1,False,0,FN,50,1.0,1.0,CUTIE (p < 0.05)
526287,p_1_pearson_False_1_FN_50_0.55,p,1,False,1,FN,50,0.55,0.0,CUTIE (p < 0.05)
526288,p_1_pearson_False_1_FN_50_0.6,p,1,False,1,FN,50,0.6,1.0,CUTIE (p < 0.05)
526289,p_1_pearson_False_1_FN_50_0.65,p,1,False,1,FN,50,0.65,1.0,CUTIE (p < 0.05)
526290,p_1_pearson_False_1_FN_50_0.7,p,1,False,1,FN,50,0.7,1.0,CUTIE (p < 0.05)
526291,p_1_pearson_False_1_FN_50_0.75,p,1,False,1,FN,50,0.75,1.0,CUTIE (p < 0.05)
526292,p_1_pearson_False_1_FN_50_0.8,p,1,False,1,FN,50,0.8,1.0,CUTIE (p < 0.05)
526293,p_1_pearson_False_1_FN_50_0.85,p,1,False,1,FN,50,0.85,1.0,CUTIE (p < 0.05)
526294,p_1_pearson_False_1_FN_50_0.9,p,1,False,1,FN,50,0.9,1.0,CUTIE (p < 0.05)
526295,p_1_pearson_False_1_FN_50_0.95,p,1,False,1,FN,50,0.95,1.0,CUTIE (p < 0.05)
526296,p_1_pearson_False_1_FN_50_1,p,1,False,1,FN,50,1.0,1.0,CUTIE (p < 0.05)
526462,p_1_pearson_False_2_FN_50_0.55,p,1,False,2,FN,50,0.55,0.0,CUTIE (p < 0.05)
526463,p_1_pearson_False_2_FN_50_0.6,p,1,False,2,FN,50,0.6,1.0,CUTIE (p < 0.05)
526464,p_1_pearson_False_2_FN_50_0.65,p,1,False,2,FN,50,0.65,1.0,CUTIE (p < 0.05)
526465,p_1_pearson_False_2_FN_50_0.7,p,1,False,2,FN,50,0.7,1.0,CUTIE (p < 0.05)
526466,p_1_pearson_False_2_FN_50_0.75,p,1,False,2,FN,50,0.75,1.0,CUTIE (p < 0.05)
526467,p_1_pearson_False_2_FN_50_0.8,p,1,False,2,FN,50,0.8,1.0,CUTIE (p < 0.05)
526468,p_1_pearson_False_2_FN_50_0.85,p,1,False,2,FN,50,0.85,1.0,CUTIE (p < 0.05)
526469,p_1_pearson_False_2_FN_50_0.9,p,1,False,2,FN,50,0.9,1.0,CUTIE (p < 0.05)
526470,p_1_pearson_False_2_FN_50_0.95,p,1,False,2,FN,50,0.95,1.0,CUTIE (p < 0.05)
526471,p_1_pearson_False_2_FN_50_1,p,1,False,2,FN,50,1.0,1.0,CUTIE (p < 0.05)
526637,p_1_pearson_False_3_FN_50_0.55,p,1,False,3,FN,50,0.55,0.0,CUTIE (p < 0.05)
526638,p_1_pearson_False_3_FN_50_0.6,p,1,False,3,FN,50,0.6,1.0,CUTIE (p < 0.05)
526639,p_1_pearson_False_3_FN_50_0.65,p,1,False,3,FN,50,0.65,1.0,CUTIE (p < 0.05)
526640,p_1_pearson_False_3_FN_50_0.7,p,1,False,3,FN,50,0.7,1.0,CUTIE (p < 0.05)
526641,p_1_pearson_False_3_FN_50_0.75,p,1,False,3,FN,50,0.75,1.0,CUTIE (p < 0.05)
526642,p_1_pearson_False_3_FN_50_0.8,p,1,False,3,FN,50,0.8,1.0,CUTIE (p < 0.05)
526643,p_1_pearson_False_3_FN_50_0.85,p,1,False,3,FN,50,0.85,1.0,CUTIE (p < 0.05)
526644,p_1_pearson_False_3_FN_50_0.9,p,1,False,3,FN,50,0.9,1.0,CUTIE (p < 0.05)
526645,p_1_pearson_False_3_FN_50_0.95,p,1,False,3,FN,50,0.95,1.0,CUTIE (p < 0.05)
526646,p_1_pearson_False_3_FN_50_1,p,1,False,3,FN,50,1.0,1.0,CUTIE (p < 0.05)
526812,p_1_pearson_False_4_FN_50_0.55,p,1,False,4,FN,50,0.55,0.0,CUTIE (p < 0.05)
526813,p_1_pearson_False_4_FN_50_0.6,p,1,False,4,FN,50,0.6,1.0,CUTIE (p < 0.05)
526814,p_1_pearson_False_4_FN_50_0.65,p,1,False,4,FN,50,0.65,1.0,CUTIE (p < 0.05)
526815,p_1_pearson_False_4_FN_50_0.7,p,1,False,4,FN,50,0.7,1.0,CUTIE (p < 0.05)
526816,p_1_pearson_False_4_FN_50_0.75,p,1,False,4,FN,50,0.75,1.0,CUTIE (p < 0.05)
526817,p_1_pearson_False_4_FN_50_0.8,p,1,False,4,FN,50,0.8,1.0,CUTIE (p < 0.05)
526818,p_1_pearson_False_4_FN_50_0.85,p,1,False,4,FN,50,0.85,1.0,CUTIE (p < 0.05)
526819,p_1_pearson_False_4_FN_50_0.9,p,1,False,4,FN,50,0.9,1.0,CUTIE (p < 0.05)
526820,p_1_pearson_False_4_FN_50_0.95,p,1,False,4,FN,50,0.95,1.0,CUTIE (p < 0.05)
526821,p_1_pearson_False_4_FN_50_1,p,1,False,4,FN,50,1.0,1.0,CUTIE (p < 0.05)
526987,p_1_pearson_False_5_FN_50_0.55,p,1,False,5,FN,50,0.55,0.0,CUTIE (p < 0.05)
526988,p_1_pearson_False_5_FN_50_0.6,p,1,False,5,FN,50,0.6,1.0,CUTIE (p < 0.05)
526989,p_1_pearson_False_5_FN_50_0.65,p,1,False,5,FN,50,0.65,1.0,CUTIE (p < 0.05)
526990,p_1_pearson_False_5_FN_50_0.7,p,1,False,5,FN,50,0.7,1.0,CUTIE (p < 0.05)
526991,p_1_pearson_False_5_FN_50_0.75,p,1,False,5,FN,50,0.75,1.0,CUTIE (p < 0.05)
526992,p_1_pearson_False_5_FN_50_0.8,p,1,False,5,FN,50,0.8,1.0,CUTIE (p < 0.05)
526993,p_1_pearson_False_5_FN_50_0.85,p,1,False,5,FN,50,0.85,1.0,CUTIE (p < 0.05)
526994,p_1_pearson_False_5_FN_50_0.9,p,1,False,5,FN,50,0.9,1.0,CUTIE (p < 0.05)
526995,p_1_pearson_False_5_FN_50_0.95,p,1,False,5,FN,50,0.95,1.0,CUTIE (p < 0.05)
526996,p_1_pearson_False_5_FN_50_1,p,1,False,5,FN,50,1.0,1.0,CUTIE (p < 0.05)
527162,p_1_pearson_False_6_FN_50_0.55,p,1,False,6,FN,50,0.55,0.0,CUTIE (p < 0.05)
527163,p_1_pearson_False_6_FN_50_0.6,p,1,False,6,FN,50,0.6,1.0,CUTIE (p < 0.05)
527164,p_1_pearson_False_6_FN_50_0.65,p,1,False,6,FN,50,0.65,1.0,CUTIE (p < 0.05)
527165,p_1_pearson_False_6_FN_50_0.7,p,1,False,6,FN,50,0.7,1.0,CUTIE (p < 0.05)
527166,p_1_pearson_False_6_FN_50_0.75,p,1,False,6,FN,50,0.75,1.0,CUTIE (p < 0.05)
527167,p_1_pearson_False_6_FN_50_0.8,p,1,False,6,FN,50,0.8,1.0,CUTIE (p < 0.05)
527168,p_1_pearson_False_6_FN_50_0.85,p,1,False,6,FN,50,0.85,1.0,CUTIE (p < 0.05)
527169,p_1_pearson_False_6_FN_50_0.9,p,1,False,6,FN,50,0.9,1.0,CUTIE (p < 0.05)
527170,p_1_pearson_False_6_FN_50_0.95,p,1,False,6,FN,50,0.95,1.0,CUTIE (p < 0.05)
527171,p_1_pearson_False_6_FN_50_1,p,1,False,6,FN,50,1.0,1.0,CUTIE (p < 0.05)
527337,p_1_pearson_False_7_FN_50_0.55,p,1,False,7,FN,50,0.55,0.0,CUTIE (p < 0.05)
527338,p_1_pearson_False_7_FN_50_0.6,p,1,False,7,FN,50,0.6,1.0,CUTIE (p < 0.05)
527339,p_1_pearson_False_7_FN_50_0.65,p,1,False,7,FN,50,0.65,1.0,CUTIE (p < 0.05)
527340,p_1_pearson_False_7_FN_50_0.7,p,1,False,7,FN,50,0.7,1.0,CUTIE (p < 0.05)
527341,p_1_pearson_False_7_FN_50_0.75,p,1,False,7,FN,50,0.75,1.0,CUTIE (p < 0.05)
527342,p_1_pearson_False_7_FN_50_0.8,p,1,False,7,FN,50,0.8,1.0,CUTIE (p < 0.05)
527343,p_1_pearson_False_7_FN_50_0.85,p,1,False,7,FN,50,0.85,1.0,CUTIE (p < 0.05)
527344,p_1_pearson_False_7_FN_50_0.9,p,1,False,7,FN,50,0.9,1.0,CUTIE (p < 0.05)
527345,p_1_pearson_False_7_FN_50_0.95,p,1,False,7,FN,50,0.95,1.0,CUTIE (p < 0.05)
527346,p_1_pearson_False_7_FN_50_1,p,1,False,7,FN,50,1.0,1.0,CUTIE (p < 0.05)
527512,p_1_pearson_False_8_FN_50_0.55,p,1,False,8,FN,50,0.55,0.0,CUTIE (p < 0.05)
