Unnamed: 0,analysis_id,parameter,fold_value,cooksd,seed,class,sample_size,corr_strength,indicator,Method
526149,p_1_pearson_False_0_NP_50_0.3,p,1,False,0,NP,50,0.3,0.0,CUTIE (p < 0.05)
526150,p_1_pearson_False_0_NP_50_0.35,p,1,False,0,NP,50,0.35,1.0,CUTIE (p < 0.05)
526151,p_1_pearson_False_0_NP_50_0.4,p,1,False,0,NP,50,0.4,1.0,CUTIE (p < 0.05)
526152,p_1_pearson_False_0_NP_50_0.45,p,1,False,0,NP,50,0.45,1.0,CUTIE (p < 0.05)
526153,p_1_pearson_False_0_NP_50_0.5,p,1,False,0,NP,50,0.5,1.0,CUTIE (p < 0.05)
526154,p_1_pearson_False_0_NP_50_0.55,p,1,False,0,NP,50,0.55,1.0,CUTIE (p < 0.05)
526155,p_1_pearson_False_0_NP_50_0.6,p,1,False,0,NP,50,0.6,1.0,CUTIE (p < 0.05)
526156,p_1_pearson_False_0_NP_50_0.65,p,1,False,0,NP,50,0.65,1.0,CUTIE (p < 0.05)
526157,p_1_pearson_False_0_NP_50_0.7,p,1,False,0,NP,50,0.7,1.0,CUTIE (p < 0.05)
526158,p_1_pearson_False_0_NP_50_0.75,p,1,False,0,NP,50,0.75,1.0,CUTIE (p < 0.05)
526159,p_1_pearson_False_0_NP_50_0.8,p,1,False,0,NP,50,0.8,1.0,CUTIE (p < 0.05)
526160,p_1_pearson_False_0_NP_50_0.85,p,1,False,0,NP,50,0.85,1.0,CUTIE (p < 0.05)
526161,p_1_pearson_False_0_NP_50_0.9,p,1,False,0,NP,50,0.9,1.0,CUTIE (p < 0.05)
526162,p_1_pearson_False_0_NP_50_0.95,p,1,False,0,NP,50,0.95,1.0,CUTIE (p < 0.05)
526163,p_1_pearson_False_0_NP_50_1,p,1,False,0,NP,50,1.0,1.0,CUTIE (p < 0.05)
526324,p_1_pearson_False_1_NP_50_0.3,p,1,False,1,NP,50,0.3,0.0,CUTIE (p < 0.05)
526325,p_1_pearson_False_1_NP_50_0.35,p,1,False,1,NP,50,0.35,1.0,CUTIE (p < 0.05)
526326,p_1_pearson_False_1_NP_50_0.4,p,1,False,1,NP,50,0.4,1.0,CUTIE (p < 0.05)
526327,p_1_pearson_False_1_NP_50_0.45,p,1,False,1,NP,50,0.45,1.0,CUTIE (p < 0.05)
526328,p_1_pearson_False_1_NP_50_0.5,p,1,False,1,NP,50,0.5,1.0,CUTIE (p < 0.05)
526329,p_1_pearson_False_1_NP_50_0.55,p,1,False,1,NP,50,0.55,1.0,CUTIE (p < 0.05)
526330,p_1_pearson_False_1_NP_50_0.6,p,1,False,1,NP,50,0.6,1.0,CUTIE (p < 0.05)
526331,p_1_pearson_False_1_NP_50_0.65,p,1,False,1,NP,50,0.65,1.0,CUTIE (p < 0.05)
526332,p_1_pearson_False_1_NP_50_0.7,p,1,False,1,NP,50,0.7,1.0,CUTIE (p < 0.05)
526333,p_1_pearson_False_1_NP_50_0.75,p,1,False,1,NP,50,0.75,1.0,CUTIE (p < 0.05)
526334,p_1_pearson_False_1_NP_50_0.8,p,1,False,1,NP,50,0.8,1.0,CUTIE (p < 0.05)
526335,p_1_pearson_False_1_NP_50_0.85,p,1,False,1,NP,50,0.85,1.0,CUTIE (p < 0.05)
526336,p_1_pearson_False_1_NP_50_0.9,p,1,False,1,NP,50,0.9,1.0,CUTIE (p < 0.05)
526337,p_1_pearson_False_1_NP_50_0.95,p,1,False,1,NP,50,0.95,1.0,CUTIE (p < 0.05)
526338,p_1_pearson_False_1_NP_50_1,p,1,False,1,NP,50,1.0,1.0,CUTIE (p < 0.05)
526499,p_1_pearson_False_2_NP_50_0.3,p,1,False,2,NP,50,0.3,0.0,CUTIE (p < 0.05)
526500,p_1_pearson_False_2_NP_50_0.35,p,1,False,2,NP,50,0.35,1.0,CUTIE (p < 0.05)
526501,p_1_pearson_False_2_NP_50_0.4,p,1,False,2,NP,50,0.4,1.0,CUTIE (p < 0.05)
526502,p_1_pearson_False_2_NP_50_0.45,p,1,False,2,NP,50,0.45,1.0,CUTIE (p < 0.05)
526503,p_1_pearson_False_2_NP_50_0.5,p,1,False,2,NP,50,0.5,1.0,CUTIE (p < 0.05)
526504,p_1_pearson_False_2_NP_50_0.55,p,1,False,2,NP,50,0.55,1.0,CUTIE (p < 0.05)
526505,p_1_pearson_False_2_NP_50_0.6,p,1,False,2,NP,50,0.6,1.0,CUTIE (p < 0.05)
526506,p_1_pearson_False_2_NP_50_0.65,p,1,False,2,NP,50,0.65,1.0,CUTIE (p < 0.05)
526507,p_1_pearson_False_2_NP_50_0.7,p,1,False,2,NP,50,0.7,1.0,CUTIE (p < 0.05)
526508,p_1_pearson_False_2_NP_50_0.75,p,1,False,2,NP,50,0.75,1.0,CUTIE (p < 0.05)
