analysis_id	TP	FP	rsTP	FN	TN
p_nomc_3_pearson_True_who	22922	5912	0	0	33647
p_nomc_3_spearman_True_who	29021	8634	0	0	24826
p_nomc_3_kendall_True_who	28855	8591	0	0	25035
p_nomc_10_pearson_False_lungc	1702	10340	6	6977	260359
p_nomc_10_spearman_False_lungc	15444	15231	0	1051	247652
p_nomc_10_kendall_False_lungc	15442	15169	0	1018	247749
p_nomc_10_pearson_False_hdac	265132	3387	52	4726	226255
p_nomc_10_spearman_False_hdac	267447	0	0	0	232053
p_nomc_10_kendall_False_hdac	269622	0	0	0	229878
p_nomc_10_pearson_False_who	27583	1251	51	2602	31045
p_nomc_10_spearman_False_who	37635	20	0	155	24671
p_nomc_10_kendall_False_who	37446	0	0	14	25021
p_nomc_10_pearson_True_lungc	2308	9734	0	0	267336
p_nomc_10_spearman_True_lungc	16823	13852	0	0	248703
p_nomc_10_kendall_True_lungc	16778	13833	0	0	248767
p_nomc_10_pearson_True_hdac	259274	9245	0	0	230981
p_nomc_10_spearman_True_hdac	257617	9830	0	0	232053
p_nomc_10_kendall_True_hdac	259723	9899	0	0	229878
p_nomc_10_pearson_True_who	22922	5912	0	0	33647
p_nomc_10_spearman_True_who	29021	8634	0	0	24826
p_nomc_10_kendall_True_who	28855	8591	0	0	25035
p_fdr_1_pearson_False_lungc	553	7189	0	6642	264994
p_fdr_1_spearman_False_lungc	4546	9606	0	4762	260464
p_fdr_1_kendall_False_lungc	4398	9420	0	4657	260903
p_fdr_1_pearson_False_hdac	206653	34976	17	40115	217756
p_fdr_1_spearman_False_hdac	228596	11809	0	14318	244777
p_fdr_1_kendall_False_hdac	230822	12053	0	13773	242852
p_fdr_1_pearson_False_who	21367	3659	33	6216	31239
p_fdr_1_spearman_False_who	33308	2206	0	3458	23509
p_fdr_1_kendall_False_who	32922	2298	0	3055	24206
p_fdr_1_pearson_True_lungc	1442	6300	0	0	271636
p_fdr_1_spearman_True_lungc	6876	7276	0	0	265226
p_fdr_1_kendall_True_lungc	6684	7134	0	0	265560
p_fdr_1_pearson_True_hdac	233054	8575	0	0	257871
p_fdr_1_spearman_True_hdac	231260	9145	0	0	259095
p_fdr_1_kendall_True_hdac	233668	9207	0	0	256625
p_fdr_1_pearson_True_who	20127	4899	0	0	37455
p_fdr_1_spearman_True_who	27300	8214	0	0	26967
p_fdr_1_kendall_True_who	27058	8162	0	0	27261
p_fdr_3_pearson_False_lungc	560	7182	0	6616	265020
p_fdr_3_spearman_False_lungc	5002	9150	0	3816	261410
p_fdr_3_kendall_False_lungc	4859	8959	0	3705	261855
p_fdr_3_pearson_False_hdac	221564	20065	19	22551	235320
p_fdr_3_spearman_False_hdac	240405	0	0	0	259095
p_fdr_3_kendall_False_hdac	242875	0	0	0	256625
p_fdr_3_pearson_False_who	22778	2248	34	4766	32689
p_fdr_3_spearman_False_who	35391	123	0	1148	25819
p_fdr_3_kendall_False_who	35139	81	0	561	26700
p_fdr_3_pearson_True_lungc	1442	6300	0	0	271636
p_fdr_3_spearman_True_lungc	6876	7276	0	0	265226
p_fdr_3_kendall_True_lungc	6684	7134	0	0	265560
p_fdr_3_pearson_True_hdac	233054	8575	0	0	257871
p_fdr_3_spearman_True_hdac	231260	9145	0	0	259095
p_fdr_3_kendall_True_hdac	233668	9207	0	0	256625
p_fdr_3_pearson_True_who	20127	4899	0	0	37455
p_fdr_3_spearman_True_who	27300	8214	0	0	26967
p_fdr_3_kendall_True_who	27058	8162	0	0	27261
p_fdr_10_pearson_False_lungc	587	7155	0	6419	265217
p_fdr_10_spearman_False_lungc	5673	8479	0	2274	262952
p_fdr_10_kendall_False_lungc	5549	8269	0	2201	263359
p_fdr_10_pearson_False_hdac	237426	4203	24	5563	252308
p_fdr_10_spearman_False_hdac	240405	0	0	0	259095
p_fdr_10_kendall_False_hdac	242875	0	0	0	256625
p_fdr_10_pearson_False_who	23823	1203	35	2588	34867
p_fdr_10_spearman_False_who	35494	20	0	169	26798
p_fdr_10_kendall_False_who	35220	0	0	16	27245
p_fdr_10_pearson_True_lungc	1442	6300	0	0	271636
p_fdr_10_spearman_True_lungc	6876	7276	0	0	265226
p_fdr_10_kendall_True_lungc	6684	7134	0	0	265560
p_fdr_10_pearson_True_hdac	233054	8575	0	0	257871
p_fdr_10_spearman_True_hdac	231260	9145	0	0	259095
p_fdr_10_kendall_True_hdac	233668	9207	0	0	256625
p_fdr_10_pearson_True_who	20127	4899	0	0	37455
p_fdr_10_spearman_True_who	27300	8214	0	0	26967
p_fdr_10_kendall_True_who	27058	8162	0	0	27261
