analysis_id	TP	FP	rsTP	FN	TN
p_nomc_1_pearson_False_lungc	1320	10722	1	8804	258532
p_nomc_1_spearman_False_lungc	10986	19689	0	8907	239796
p_nomc_1_kendall_False_lungc	10960	19651	0	8894	239873
p_nomc_1_pearson_False_hdac	230329	38190	31	43198	187783
p_nomc_1_spearman_False_hdac	254638	12809	0	15712	216341
p_nomc_1_kendall_False_hdac	256479	13143	0	15235	214643
p_nomc_1_pearson_False_who	24435	4399	37	7291	26356
p_nomc_1_spearman_False_who	35203	2452	0	3760	21066
p_nomc_1_kendall_False_who	34936	2510	0	3433	21602
p_nomc_1_pearson_True_lungc	2308	9734	0	0	267336
p_nomc_1_spearman_True_lungc	16823	13852	0	0	248703
p_nomc_1_kendall_True_lungc	16778	13833	0	0	248767
p_nomc_1_pearson_True_hdac	259274	9245	0	0	230981
p_nomc_1_spearman_True_hdac	257617	9830	0	0	232053
p_nomc_1_kendall_True_hdac	259723	9899	0	0	229878
p_nomc_1_pearson_True_who	22922	5912	0	0	33647
p_nomc_1_spearman_True_who	29021	8634	0	0	24826
p_nomc_1_kendall_True_who	28855	8591	0	0	25035
p_nomc_3_pearson_False_lungc	1419	10623	1	8380	258956
p_nomc_3_spearman_False_lungc	12503	18172	0	5042	243661
p_nomc_3_kendall_False_lungc	12499	18112	0	4981	243786
p_nomc_3_pearson_False_hdac	250016	18503	38	20750	210231
p_nomc_3_spearman_False_hdac	267447	0	0	0	232053
p_nomc_3_kendall_False_hdac	269622	0	0	0	229878
p_nomc_3_pearson_False_who	26363	2471	39	5213	28434
p_nomc_3_spearman_False_who	37526	129	0	986	23840
p_nomc_3_kendall_False_who	37365	81	0	516	24519
p_nomc_3_pearson_True_lungc	2308	9734	0	0	267336
p_nomc_3_spearman_True_lungc	16823	13852	0	0	248703
p_nomc_3_kendall_True_lungc	16778	13833	0	0	248767
p_nomc_3_pearson_True_hdac	259274	9245	0	0	230981
p_nomc_3_spearman_True_hdac	257617	9830	0	0	232053
p_nomc_3_kendall_True_hdac	259723	9899	0	0	229878
