	analysis_id	parameter	dataset	statistic	mc_used	fold_value	cooksd	initial_corr	true_corr(TP_FN)	false_corr(FP_TN)	rs_true_corr_TP_FN	rs_false_corr_FP_TN	runtime
0	p_nomc_3_rpearson_True_lungpt	p	lungpt	rpearson	nomc	3	True	69927	45216	24711	0	0	1396.208877209
0	p_nomc_3_rpearson_True_lungtx	p	lungtx	rpearson	nomc	3	True	27125	20318	6807	0	0	849.575726054
0	p_nomc_3_rpearson_True_who	p	who	rpearson	nomc	3	True	33647	129	33518	0	0	3395.1232729189996
0	p_nomc_3_rpearson_True_hdac	p	hdac	rpearson	nomc	3	True	230981	225679	5302	0	0	65991.57412199701
0	p_nomc_3_spearman_False_lungc	p	lungc	spearman	nomc	3	False	30675	12503	18172	0	13281	2922.2151279639997
0	p_nomc_3_spearman_False_lungpt	p	lungpt	spearman	nomc	3	False	2170	1283	887	0	0	106.96843850399999
0	p_nomc_3_spearman_False_lungtx	p	lungtx	spearman	nomc	3	False	1368	1368	0	0	0	53.037041467
0	p_nomc_3_spearman_False_who	p	who	spearman	nomc	3	False	37655	37526	129	0	0	4376.4980755510005
0	p_nomc_3_spearman_False_hdac	p	hdac	spearman	nomc	3	False	267447	267447	0	0	0	61498.655193016995
0	p_nomc_3_spearman_True_lungc	p	lungc	spearman	nomc	3	True	30675	13796	16879	0	0	5262.288667428
0	p_nomc_3_spearman_True_lungpt	p	lungpt	spearman	nomc	3	True	2170	1093	1077	0	0	486.046413808
0	p_nomc_3_spearman_True_lungtx	p	lungtx	spearman	nomc	3	True	1368	822	546	0	0	269.47174734500004
0	p_nomc_3_spearman_True_who	p	who	spearman	nomc	3	True	37655	0	37655	0	0	6955.321584648
0	p_nomc_3_spearman_True_hdac	p	hdac	spearman	nomc	3	True	267447	257617	9830	0	0	107135.48831418999
0	p_nomc_3_rspearman_False_lungc	p	lungc	rspearman	nomc	3	False	248703	5042	243661	2646	152682	22251.842306301998
0	p_nomc_3_rspearman_False_lungpt	p	lungpt	rspearman	nomc	3	False	72281	2059	70222	67	51110	1175.6061967760002
0	p_nomc_3_rspearman_False_lungtx	p	lungtx	rspearman	nomc	3	False	27248	789	26459	1	8796	645.955697179
0	p_nomc_3_rspearman_False_who	p	who	rspearman	nomc	3	False	24826	986	23840	40	5018	2856.232358191
0	p_nomc_3_rspearman_False_hdac	p	hdac	rspearman	nomc	3	False	232053	0	232053	0	19383	53874.801203043
0	p_nomc_3_rspearman_True_lungc	p	lungc	rspearman	nomc	3	True	248703	142525	106178	0	0	41175.67169065501
0	p_nomc_3_rspearman_True_lungpt	p	lungpt	rspearman	nomc	3	True	72281	44468	27813	0	0	2364.810396128
0	p_nomc_3_rspearman_True_lungtx	p	lungtx	rspearman	nomc	3	True	27248	20312	6936	0	0	1374.5009733180002
0	p_nomc_3_rspearman_True_who	p	who	rspearman	nomc	3	True	24826	129	24697	0	0	4399.378711083
0	p_nomc_3_rspearman_True_hdac	p	hdac	rspearman	nomc	3	True	232053	227336	4717	0	0	93459.289765657
0	p_nomc_3_kendall_False_lungc	p	lungc	kendall	nomc	3	False	30611	12499	18112	0	13243	1891.022464933
0	p_nomc_3_kendall_False_lungpt	p	lungpt	kendall	nomc	3	False	2113	1330	783	0	0	78.681336632
0	p_nomc_3_kendall_False_lungtx	p	lungtx	kendall	nomc	3	False	1322	1322	0	0	0	35.511422585000005
0	p_nomc_3_kendall_False_who	p	who	kendall	nomc	3	False	37446	37365	81	0	0	2891.917973095
0	p_nomc_3_kendall_False_hdac	p	hdac	kendall	nomc	3	False	269622	269622	0	0	0	46031.364208546
0	p_nomc_3_kendall_True_lungc	p	lungc	kendall	nomc	3	True	30611	13752	16859	0	0	4541.130361829
0	p_nomc_3_kendall_True_lungpt	p	lungpt	kendall	nomc	3	True	2113	1062	1051	0	0	273.419971767
0	p_nomc_3_kendall_True_lungtx	p	lungtx	kendall	nomc	3	True	1322	826	496	0	0	413.03476718
0	p_nomc_3_kendall_True_who	p	who	kendall	nomc	3	True	37446	0	37446	0	0	5619.744426566001
0	p_nomc_3_kendall_True_hdac	p	hdac	kendall	nomc	3	True	269622	259723	9899	0	0	103681.41240231201
0	p_nomc_3_rkendall_False_lungc	p	lungc	rkendall	nomc	3	False	248767	4981	243786	2641	152836	13939.44630401
0	p_nomc_3_rkendall_False_lungpt	p	lungpt	rkendall	nomc	3	False	72338	1820	70518	67	51269	768.302832595
0	p_nomc_3_rkendall_False_lungtx	p	lungtx	rkendall	nomc	3	False	27294	412	26882	1	8905	403.449228559
0	p_nomc_3_rkendall_False_who	p	who	rkendall	nomc	3	False	25035	516	24519	0	5133	1969.868378898
0	p_nomc_3_rkendall_False_hdac	p	hdac	rkendall	nomc	3	False	229878	0	229878	0	19101	38742.946935026
0	p_nomc_3_rkendall_True_lungc	p	lungc	rkendall	nomc	3	True	248767	142569	106198	0	0	33047.716424032
0	p_nomc_3_rkendall_True_lungpt	p	lungpt	rkendall	nomc	3	True	72338	44499	27839	0	0	1970.065208808
0	p_nomc_3_rkendall_True_lungtx	p	lungtx	rkendall	nomc	3	True	27294	20308	6986	0	0	1167.573630212
0	p_nomc_3_rkendall_True_who	p	who	rkendall	nomc	3	True	25035	129	24906	0	0	3411.664692335
0	p_nomc_3_rkendall_True_hdac	p	hdac	rkendall	nomc	3	True	229878	225230	4648	0	0	89008.32079513099
0	p_nomc_10_pearson_False_lungc	p	lungc	pearson	nomc	10	False	12042	1702	10340	6	8363	415.521701108
0	p_nomc_10_pearson_False_lungpt	p	lungpt	pearson	nomc	10	False	4524	508	4016	17	2688	80.089682322
0	p_nomc_10_pearson_False_lungtx	p	lungtx	pearson	nomc	10	False	1491	783	708	1	167	42.641658762999995
0	p_nomc_10_pearson_False_who	p	who	pearson	nomc	10	False	28834	27583	1251	51	183	1068.327930638
0	p_nomc_10_pearson_False_hdac	p	hdac	pearson	nomc	10	False	268519	265132	3387	52	159	20664.502122116
0	p_nomc_10_pearson_True_lungc	p	lungc	pearson	nomc	10	True	12042	693	11349	0	0	1603.453095527
0	p_nomc_10_pearson_True_lungpt	p	lungpt	pearson	nomc	10	True	4524	345	4179	0	0	412.976489404
0	p_nomc_10_pearson_True_lungtx	p	lungtx	pearson	nomc	10	True	1491	816	675	0	0	437.296286253
0	p_nomc_10_pearson_True_who	p	who	pearson	nomc	10	True	28834	0	28834	0	0	3117.931193422
0	p_nomc_10_pearson_True_hdac	p	hdac	pearson	nomc	10	True	268519	259274	9245	0	0	64907.413523299
0	p_nomc_10_rpearson_False_lungc	p	lungc	rpearson	nomc	10	False	267336	6977	260359	5685	153628	7727.7059065250005
0	p_nomc_10_rpearson_False_lungpt	p	lungpt	rpearson	nomc	10	False	69927	2997	66930	2035	47047	288.11702227
0	p_nomc_10_rpearson_False_lungtx	p	lungtx	rpearson	nomc	10	False	27125	330	26795	213	12416	230.862473531
0	p_nomc_10_rpearson_False_who	p	who	rpearson	nomc	10	False	33647	2602	31045	655	9349	1254.1831726839998
0	p_nomc_10_rpearson_False_hdac	p	hdac	rpearson	nomc	10	False	230981	4726	226255	607	54754	19760.599481342
0	p_nomc_10_rpearson_True_lungc	p	lungc	rpearson	nomc	10	True	267336	155628	111708	0	0	25955.260645121998
0	p_nomc_10_rpearson_True_lungpt	p	lungpt	rpearson	nomc	10	True	69927	45216	24711	0	0	1299.689915122
0	p_nomc_10_rpearson_True_lungtx	p	lungtx	rpearson	nomc	10	True	27125	20318	6807	0	0	839.280963078
0	p_nomc_10_rpearson_True_who	p	who	rpearson	nomc	10	True	33647	129	33518	0	0	3504.767803936
0	p_nomc_10_rpearson_True_hdac	p	hdac	rpearson	nomc	10	True	230981	225679	5302	0	0	58181.503461304
0	p_nomc_10_spearman_False_lungc	p	lungc	spearman	nomc	10	False	30675	15444	15231	0	13281	2916.196485559
0	p_nomc_10_spearman_False_lungpt	p	lungpt	spearman	nomc	10	False	2170	2170	0	0	0	87.087143068
0	p_nomc_10_spearman_False_lungtx	p	lungtx	spearman	nomc	10	False	1368	1368	0	0	0	63.06772298200001
0	p_nomc_10_spearman_False_who	p	who	spearman	nomc	10	False	37655	37635	20	0	0	4379.410284565
0	p_nomc_10_spearman_False_hdac	p	hdac	spearman	nomc	10	False	267447	267447	0	0	0	62310.829372596
0	p_nomc_10_spearman_True_lungc	p	lungc	spearman	nomc	10	True	30675	13796	16879	0	0	5604.42557958
0	p_nomc_10_spearman_True_lungpt	p	lungpt	spearman	nomc	10	True	2170	1093	1077	0	0	443.594802093
0	p_nomc_10_spearman_True_lungtx	p	lungtx	spearman	nomc	10	True	1368	822	546	0	0	408.009564397
0	p_nomc_10_spearman_True_who	p	who	spearman	nomc	10	True	37655	0	37655	0	0	7326.499370247
0	p_nomc_10_spearman_True_hdac	p	hdac	spearman	nomc	10	True	267447	257617	9830	0	0	106670.30415107
0	p_nomc_10_rspearman_False_lungc	p	lungc	rspearman	nomc	10	False	248703	1051	247652	981	154347	22302.686811998
0	p_nomc_10_rspearman_False_lungpt	p	lungpt	rspearman	nomc	10	False	72281	220	72061	45	51132	1190.9045889939998
0	p_nomc_10_rspearman_False_lungtx	p	lungtx	rspearman	nomc	10	False	27248	1	27247	1	8796	628.229473887
0	p_nomc_10_rspearman_False_who	p	who	rspearman	nomc	10	False	24826	155	24671	40	5018	2862.775851439
0	p_nomc_10_rspearman_False_hdac	p	hdac	rspearman	nomc	10	False	232053	0	232053	0	19383	50860.703185912
0	p_nomc_10_rspearman_True_lungc	p	lungc	rspearman	nomc	10	True	248703	142525	106178	0	0	41442.506514898996
0	p_nomc_10_rspearman_True_lungpt	p	lungpt	rspearman	nomc	10	True	72281	44468	27813	0	0	2279.788328272
0	p_nomc_10_rspearman_True_lungtx	p	lungtx	rspearman	nomc	10	True	27248	20312	6936	0	0	1257.3419998289999
0	p_nomc_10_rspearman_True_who	p	who	rspearman	nomc	10	True	24826	129	24697	0	0	4408.7586600859995
0	p_nomc_10_rspearman_True_hdac	p	hdac	rspearman	nomc	10	True	232053	227336	4717	0	0	92498.872467466
0	p_nomc_10_kendall_False_lungc	p	lungc	kendall	nomc	10	False	30611	15442	15169	0	13243	1883.2935864269998
0	p_nomc_10_kendall_False_lungpt	p	lungpt	kendall	nomc	10	False	2113	2113	0	0	0	58.701803502999994
0	p_nomc_10_kendall_False_lungtx	p	lungtx	kendall	nomc	10	False	1322	1322	0	0	0	41.379087534
0	p_nomc_10_kendall_False_who	p	who	kendall	nomc	10	False	37446	37446	0	0	0	2860.9670259120003
0	p_nomc_10_kendall_False_hdac	p	hdac	kendall	nomc	10	False	269622	269622	0	0	0	44753.047464809
0	p_nomc_10_kendall_True_lungc	p	lungc	kendall	nomc	10	True	30611	13752	16859	0	0	4214.161579622
0	p_nomc_10_kendall_True_lungpt	p	lungpt	kendall	nomc	10	True	2113	1062	1051	0	0	437.708437741
0	p_nomc_10_kendall_True_lungtx	p	lungtx	kendall	nomc	10	True	1322	826	496	0	0	241.456131492
0	p_nomc_10_kendall_True_who	p	who	kendall	nomc	10	True	37446	0	37446	0	0	5629.856670493999
0	p_nomc_10_kendall_True_hdac	p	hdac	kendall	nomc	10	True	269622	259723	9899	0	0	90940.492135771
0	p_nomc_10_rkendall_False_lungc	p	lungc	rkendall	nomc	10	False	248767	1018	247749	969	154508	14207.53294884
0	p_nomc_10_rkendall_False_lungpt	p	lungpt	rkendall	nomc	10	False	72338	114	72224	35	51301	719.00923345
0	p_nomc_10_rkendall_False_lungtx	p	lungtx	rkendall	nomc	10	False	27294	1	27293	1	8905	390.43946101
0	p_nomc_10_rkendall_False_who	p	who	rkendall	nomc	10	False	25035	14	25021	0	5133	1918.2495034160002
0	p_nomc_10_rkendall_False_hdac	p	hdac	rkendall	nomc	10	False	229878	0	229878	0	19101	43412.970919802996
0	p_nomc_10_rkendall_True_lungc	p	lungc	rkendall	nomc	10	True	248767	142569	106198	0	0	31085.018631026
0	p_nomc_10_rkendall_True_lungpt	p	lungpt	rkendall	nomc	10	True	72338	44499	27839	0	0	1846.9380876280002
0	p_nomc_10_rkendall_True_lungtx	p	lungtx	rkendall	nomc	10	True	27294	20308	6986	0	0	1143.542499472
0	p_nomc_10_rkendall_True_who	p	who	rkendall	nomc	10	True	25035	129	24906	0	0	3479.806455789
0	p_nomc_10_rkendall_True_hdac	p	hdac	rkendall	nomc	10	True	229878	225230	4648	0	0	88537.875097656
0	p_fdr_1_pearson_False_lungc	p	lungc	pearson	fdr	1	False	7742	553	7189	0	5708	263.642196401
0	p_fdr_1_pearson_False_lungpt	p	lungpt	pearson	fdr	1	False	2868	76	2792	0	1862	64.007825713
0	p_fdr_1_pearson_False_lungtx	p	lungtx	pearson	fdr	1	False	2	0	2	0	0	7.368247867999999
0	p_fdr_1_pearson_False_who	p	who	pearson	fdr	1	False	25026	21367	3659	33	118	990.6870905019999
0	p_fdr_1_pearson_False_hdac	p	hdac	pearson	fdr	1	False	241629	206653	34976	17	127	18702.70461737
0	p_fdr_1_pearson_True_lungc	p	lungc	pearson	fdr	1	True	7742	200	7542	0	0	997.948711382
0	p_fdr_1_pearson_True_lungpt	p	lungpt	pearson	fdr	1	True	2868	102	2766	0	0	273.285599021
0	p_fdr_1_pearson_True_lungtx	p	lungtx	pearson	fdr	1	True	2	0	2	0	0	71.29035354199999
0	p_fdr_1_pearson_True_who	p	who	pearson	fdr	1	True	25026	0	25026	0	0	3081.663434486
0	p_fdr_1_pearson_True_hdac	p	hdac	pearson	fdr	1	True	241629	233054	8575	0	0	59771.899988024
0	p_fdr_1_rpearson_False_lungc	p	lungc	rpearson	fdr	1	False	271636	6642	264994	5081	156893	7151.279342790999
0	p_fdr_1_rpearson_False_lungpt	p	lungpt	rpearson	fdr	1	False	71583	2462	69121	1510	48415	318.456994028
0	p_fdr_1_rpearson_False_lungtx	p	lungtx	rpearson	fdr	1	False	28614	12	28602	9	12788	191.743121537
0	p_fdr_1_rpearson_False_who	p	who	rpearson	fdr	1	False	37455	6216	31239	514	9573	1292.496847828
0	p_fdr_1_rpearson_False_hdac	p	hdac	rpearson	fdr	1	False	257871	40115	217756	553	54875	19595.476478345
0	p_fdr_1_rpearson_True_lungc	p	lungc	rpearson	fdr	1	True	271636	156121	115515	0	0	26136.448376844997
0	p_fdr_1_rpearson_True_lungpt	p	lungpt	rpearson	fdr	1	True	71583	45459	26124	0	0	1302.167812871
0	p_fdr_1_rpearson_True_lungtx	p	lungtx	rpearson	fdr	1	True	28614	21134	7480	0	0	865.952754707
0	p_fdr_1_rpearson_True_who	p	who	rpearson	fdr	1	True	37455	129	37326	0	0	3518.497528844
0	p_fdr_1_rpearson_True_hdac	p	hdac	rpearson	fdr	1	True	257871	251899	5972	0	0	64688.010427095
0	p_fdr_1_spearman_False_lungc	p	lungc	spearman	fdr	1	False	14152	4546	9606	0	6771	1448.6360547620002
0	p_fdr_1_spearman_False_lungpt	p	lungpt	spearman	fdr	1	False	2170	629	1541	0	0	97.132578294
0	p_fdr_1_spearman_False_lungtx	p	lungtx	spearman	fdr	1	False	1368	541	827	0	0	72.88633391799999
0	p_fdr_1_spearman_False_who	p	who	spearman	fdr	1	False	35514	33308	2206	0	0	4149.648551571
0	p_fdr_1_spearman_False_hdac	p	hdac	spearman	fdr	1	False	240405	228596	11809	0	0	56070.530991987
0	p_fdr_1_spearman_True_lungc	p	lungc	spearman	fdr	1	True	14152	4969	9183	0	0	2899.503392495
0	p_fdr_1_spearman_True_lungpt	p	lungpt	spearman	fdr	1	True	2170	1093	1077	0	0	495.65080539400003
0	p_fdr_1_spearman_True_lungtx	p	lungtx	spearman	fdr	1	True	1368	822	546	0	0	364.541105154
0	p_fdr_1_spearman_True_who	p	who	spearman	fdr	1	True	35514	0	35514	0	0	6957.950657442
0	p_fdr_1_spearman_True_hdac	p	hdac	spearman	fdr	1	True	240405	231260	9145	0	0	98231.826673432
0	p_fdr_1_rspearman_False_lungc	p	lungc	rspearman	fdr	1	False	265226	4762	260464	2485	159353	23941.589262958
0	p_fdr_1_rspearman_False_lungpt	p	lungpt	rspearman	fdr	1	False	72281	3353	68928	67	51110	1153.418335313
0	p_fdr_1_rspearman_False_lungtx	p	lungtx	rspearman	fdr	1	False	27248	2210	25038	1	8796	628.67296191
0	p_fdr_1_rspearman_False_who	p	who	rspearman	fdr	1	False	26967	3458	23509	36	5022	3122.7819525630002
0	p_fdr_1_rspearman_False_hdac	p	hdac	rspearman	fdr	1	False	259095	14318	244777	0	19383	59291.13574539599
0	p_fdr_1_rspearman_True_lungc	p	lungc	rspearman	fdr	1	True	265226	151352	113874	0	0	42247.18168453
0	p_fdr_1_rspearman_True_lungpt	p	lungpt	rspearman	fdr	1	True	72281	44468	27813	0	0	2166.807520821
0	p_fdr_1_rspearman_True_lungtx	p	lungtx	rspearman	fdr	1	True	27248	20312	6936	0	0	1358.94340167
0	p_fdr_1_rspearman_True_who	p	who	rspearman	fdr	1	True	26967	129	26838	0	0	4802.58729971
0	p_fdr_1_rspearman_True_hdac	p	hdac	rspearman	fdr	1	True	259095	253693	5402	0	0	104891.197114882
0	p_fdr_1_kendall_False_lungc	p	lungc	kendall	fdr	1	False	13818	4398	9420	0	6620	901.732052381
0	p_fdr_1_kendall_False_lungpt	p	lungpt	kendall	fdr	1	False	2113	572	1541	0	0	70.066132837
0	p_fdr_1_kendall_False_lungtx	p	lungtx	kendall	fdr	1	False	1322	501	821	0	0	65.493806757
0	p_fdr_1_kendall_False_who	p	who	kendall	fdr	1	False	35220	32922	2298	0	0	2733.000208188
0	p_fdr_1_kendall_False_hdac	p	hdac	kendall	fdr	1	False	242875	230822	12053	0	0	40974.008170215
0	p_fdr_1_kendall_True_lungc	p	lungc	kendall	fdr	1	True	13818	4797	9021	0	0	2048.8156346289998
0	p_fdr_1_kendall_True_lungpt	p	lungpt	kendall	fdr	1	True	2113	1062	1051	0	0	461.123938385
0	p_fdr_1_kendall_True_lungtx	p	lungtx	kendall	fdr	1	True	1322	826	496	0	0	355.968797833
0	p_fdr_1_kendall_True_who	p	who	kendall	fdr	1	True	35220	0	35220	0	0	5299.605133753
0	p_fdr_1_kendall_True_hdac	p	hdac	kendall	fdr	1	True	242875	233668	9207	0	0	84357.44754886
0	p_fdr_1_rkendall_False_lungc	p	lungc	rkendall	fdr	1	False	265560	4657	260903	2433	159667	14911.913223831001
0	p_fdr_1_rkendall_False_lungpt	p	lungpt	rkendall	fdr	1	False	72338	3376	68962	67	51269	737.218215167
0	p_fdr_1_rkendall_False_lungtx	p	lungtx	rkendall	fdr	1	False	27294	1986	25308	1	8905	408.61698978699997
