	analysis_id	parameter	dataset	statistic	mc_used	fold_value	cooksd	initial_corr	true_corr(TP_FN)	false_corr(FP_TN)	rs_true_corr_TP_FN	rs_false_corr_FP_TN	runtime
0	p_nomc_1_pearson_False_lungc	p	lungc	pearson	nomc	1	False	12042	1320	10722	1	8368	442.210512614
0	p_nomc_1_pearson_False_lungpt	p	lungpt	pearson	nomc	1	False	4524	305	4219	0	2705	68.875702273
0	p_nomc_1_pearson_False_lungtx	p	lungtx	pearson	nomc	1	False	1491	91	1400	0	168	66.52684687099999
0	p_nomc_1_pearson_False_who	p	who	pearson	nomc	1	False	28834	24435	4399	37	197	1121.6371046200002
0	p_nomc_1_pearson_False_hdac	p	hdac	pearson	nomc	1	False	268519	230329	38190	31	180	20652.983091336002
0	p_nomc_1_pearson_True_lungc	p	lungc	pearson	nomc	1	True	12042	693	11349	0	0	1611.8453226479999
0	p_nomc_1_pearson_True_lungpt	p	lungpt	pearson	nomc	1	True	4524	345	4179	0	0	300.59097432899995
0	p_nomc_1_pearson_True_lungtx	p	lungtx	pearson	nomc	1	True	1491	816	675	0	0	370.67669266599995
0	p_nomc_1_pearson_True_who	p	who	pearson	nomc	1	True	28834	0	28834	0	0	3457.7651597540003
0	p_nomc_1_pearson_True_hdac	p	hdac	pearson	nomc	1	True	268519	259274	9245	0	0	68076.62169846901
0	p_nomc_1_rpearson_False_lungc	p	lungc	rpearson	nomc	1	False	267336	8804	258532	6712	152601	7767.332920061
0	p_nomc_1_rpearson_False_lungpt	p	lungpt	rpearson	nomc	1	False	69927	4141	65786	2599	46483	327.475717712
0	p_nomc_1_rpearson_False_lungtx	p	lungtx	rpearson	nomc	1	False	27125	2036	25089	554	12075	228.822322464
0	p_nomc_1_rpearson_False_who	p	who	rpearson	nomc	1	False	33647	7291	26356	859	9145	1224.5721156309999
0	p_nomc_1_rpearson_False_hdac	p	hdac	rpearson	nomc	1	False	230981	43198	187783	820	54541	17789.127798179
0	p_nomc_1_rpearson_True_lungc	p	lungc	rpearson	nomc	1	True	267336	155628	111708	0	0	26077.501785653
0	p_nomc_1_rpearson_True_lungpt	p	lungpt	rpearson	nomc	1	True	69927	45216	24711	0	0	1475.926869319
0	p_nomc_1_rpearson_True_lungtx	p	lungtx	rpearson	nomc	1	True	27125	20318	6807	0	0	1020.035536446
0	p_nomc_1_rpearson_True_who	p	who	rpearson	nomc	1	True	33647	129	33518	0	0	3413.4400425090002
0	p_nomc_1_rpearson_True_hdac	p	hdac	rpearson	nomc	1	True	230981	225679	5302	0	0	58689.647761054
0	p_nomc_1_spearman_False_lungc	p	lungc	spearman	nomc	1	False	30675	10986	19689	0	13281	2983.184822421
0	p_nomc_1_spearman_False_lungpt	p	lungpt	spearman	nomc	1	False	2170	629	1541	0	0	105.834299352
0	p_nomc_1_spearman_False_lungtx	p	lungtx	spearman	nomc	1	False	1368	541	827	0	0	80.69118943
0	p_nomc_1_spearman_False_who	p	who	spearman	nomc	1	False	37655	35203	2452	0	0	4425.453021016
0	p_nomc_1_spearman_False_hdac	p	hdac	spearman	nomc	1	False	267447	254638	12809	0	0	59979.766205506
0	p_nomc_1_spearman_True_lungc	p	lungc	spearman	nomc	1	True	30675	13796	16879	0	0	5483.564062215
0	p_nomc_1_spearman_True_lungpt	p	lungpt	spearman	nomc	1	True	2170	1093	1077	0	0	303.961086311
0	p_nomc_1_spearman_True_lungtx	p	lungtx	spearman	nomc	1	True	1368	822	546	0	0	432.166360287
0	p_nomc_1_spearman_True_who	p	who	spearman	nomc	1	True	37655	0	37655	0	0	7164.017642287
0	p_nomc_1_spearman_True_hdac	p	hdac	spearman	nomc	1	True	267447	257617	9830	0	0	108279.254636133
0	p_nomc_1_rspearman_False_lungc	p	lungc	rspearman	nomc	1	False	248703	8907	239796	3551	151777	21930.027851489
0	p_nomc_1_rspearman_False_lungpt	p	lungpt	rspearman	nomc	1	False	72281	3353	68928	67	51110	1172.761237146
0	p_nomc_1_rspearman_False_lungtx	p	lungtx	rspearman	nomc	1	False	27248	2210	25038	1	8796	636.460839264
0	p_nomc_1_rspearman_False_who	p	who	rspearman	nomc	1	False	24826	3760	21066	40	5018	2791.515498862
0	p_nomc_1_rspearman_False_hdac	p	hdac	rspearman	nomc	1	False	232053	15712	216341	0	19383	53408.788028218
0	p_nomc_1_rspearman_True_lungc	p	lungc	rspearman	nomc	1	True	248703	142525	106178	0	0	39501.31757048
0	p_nomc_1_rspearman_True_lungpt	p	lungpt	rspearman	nomc	1	True	72281	44468	27813	0	0	2327.173210627
0	p_nomc_1_rspearman_True_lungtx	p	lungtx	rspearman	nomc	1	True	27248	20312	6936	0	0	1268.0156558170002
0	p_nomc_1_rspearman_True_who	p	who	rspearman	nomc	1	True	24826	129	24697	0	0	4535.235656065
0	p_nomc_1_rspearman_True_hdac	p	hdac	rspearman	nomc	1	True	232053	227336	4717	0	0	93766.026993669
0	p_nomc_1_kendall_False_lungc	p	lungc	kendall	nomc	1	False	30611	10960	19651	0	13243	1878.3140177250002
0	p_nomc_1_kendall_False_lungpt	p	lungpt	kendall	nomc	1	False	2113	572	1541	0	0	76.681080898
0	p_nomc_1_kendall_False_lungtx	p	lungtx	kendall	nomc	1	False	1322	501	821	0	0	55.611223766
0	p_nomc_1_kendall_False_who	p	who	kendall	nomc	1	False	37446	34936	2510	0	0	2885.7146410329997
0	p_nomc_1_kendall_False_hdac	p	hdac	kendall	nomc	1	False	269622	256479	13143	0	0	44856.596699695
0	p_nomc_1_kendall_True_lungc	p	lungc	kendall	nomc	1	True	30611	13752	16859	0	0	4366.110739453
0	p_nomc_1_kendall_True_lungpt	p	lungpt	kendall	nomc	1	True	2113	1062	1051	0	0	383.67500018699997
0	p_nomc_1_kendall_True_lungtx	p	lungtx	kendall	nomc	1	True	1322	826	496	0	0	411.755481316
0	p_nomc_1_kendall_True_who	p	who	kendall	nomc	1	True	37446	0	37446	0	0	6050.628966142999
0	p_nomc_1_kendall_True_hdac	p	hdac	kendall	nomc	1	True	269622	259723	9899	0	0	93188.21501899301
0	p_nomc_1_rkendall_False_lungc	p	lungc	rkendall	nomc	1	False	248767	8894	239873	3542	151935	13959.713127837
0	p_nomc_1_rkendall_False_lungpt	p	lungpt	rkendall	nomc	1	False	72338	3376	68962	67	51269	722.71824877
0	p_nomc_1_rkendall_False_lungtx	p	lungtx	rkendall	nomc	1	False	27294	1986	25308	1	8905	421.923767575
0	p_nomc_1_rkendall_False_who	p	who	rkendall	nomc	1	False	25035	3433	21602	0	5133	1939.519717075
0	p_nomc_1_rkendall_False_hdac	p	hdac	rkendall	nomc	1	False	229878	15235	214643	0	19101	39120.601637127
0	p_nomc_1_rkendall_True_lungc	p	lungc	rkendall	nomc	1	True	248767	142569	106198	0	0	33451.402569923004
0	p_nomc_1_rkendall_True_lungpt	p	lungpt	rkendall	nomc	1	True	72338	44499	27839	0	0	1743.273419233
0	p_nomc_1_rkendall_True_lungtx	p	lungtx	rkendall	nomc	1	True	27294	20308	6986	0	0	1223.418122126
0	p_nomc_1_rkendall_True_who	p	who	rkendall	nomc	1	True	25035	129	24906	0	0	3658.4175961759997
0	p_nomc_1_rkendall_True_hdac	p	hdac	rkendall	nomc	1	True	229878	225230	4648	0	0	79498.365474516
0	p_nomc_3_pearson_False_lungc	p	lungc	pearson	nomc	3	False	12042	1419	10623	1	8368	384.08571556000004
0	p_nomc_3_pearson_False_lungpt	p	lungpt	pearson	nomc	3	False	4524	338	4186	0	2705	54.461180367
0	p_nomc_3_pearson_False_lungtx	p	lungtx	pearson	nomc	3	False	1491	276	1215	0	168	69.78652061400001
0	p_nomc_3_pearson_False_who	p	who	pearson	nomc	3	False	28834	26363	2471	39	195	1061.481054781
0	p_nomc_3_pearson_False_hdac	p	hdac	pearson	nomc	3	False	268519	250016	18503	38	173	20977.306201042
0	p_nomc_3_pearson_True_lungc	p	lungc	pearson	nomc	3	True	12042	693	11349	0	0	1405.859155347
0	p_nomc_3_pearson_True_lungpt	p	lungpt	pearson	nomc	3	True	4524	345	4179	0	0	500.60693189700004
0	p_nomc_3_pearson_True_lungtx	p	lungtx	pearson	nomc	3	True	1491	816	675	0	0	450.51940908499995
0	p_nomc_3_pearson_True_who	p	who	pearson	nomc	3	True	28834	0	28834	0	0	3090.8241046900002
0	p_nomc_3_pearson_True_hdac	p	hdac	pearson	nomc	3	True	268519	259274	9245	0	0	74830.170967951
0	p_nomc_3_rpearson_False_lungc	p	lungc	rpearson	nomc	3	False	267336	8380	258956	6511	152802	7052.750373402
0	p_nomc_3_rpearson_False_lungpt	p	lungpt	rpearson	nomc	3	False	69927	3964	65963	2560	46522	328.618985924
0	p_nomc_3_rpearson_False_lungtx	p	lungtx	rpearson	nomc	3	False	27125	1352	25773	506	12123	195.033689651
0	p_nomc_3_rpearson_False_who	p	who	rpearson	nomc	3	False	33647	5213	28434	803	9201	1176.73088758
0	p_nomc_3_rpearson_False_hdac	p	hdac	rpearson	nomc	3	False	230981	20750	210231	747	54614	17830.727075531002
0	p_nomc_3_rpearson_True_lungc	p	lungc	rpearson	nomc	3	True	267336	155628	111708	0	0	25836.704453013997
