analysis_id	TP	FP	FN	TN	dataset
WHOp	0.390847436	0.070363735	0.116622413	0.421574587	WHO
WHOs	0.563419279	0.03924393	0.060178294	0.337158496	WHO
WHOk	0.55914598	0.040172212	0.054944703	0.345737104	WHO
Covidp	0.083333333	0.138888889	0.027777778	0.75	Covid
Covids	0.027777778	0.055555556	0.138888889	0.777777778	Covid
Covidk	0.027777778	0	0.138888889	0.833333333	Covid
Airplanep	0.713235294	0.036764706	0.044117647	0.205882353	Airplane
Airplanes	0.823529412	0.007352941	0	0.169117647	Airplane
Airplanek	0.823529412	0.007352941	0	0.169117647	Airplane
Baseballp	0.605250983	0.044297941	0.038167939	0.312283137	Baseball
Baseballs	0.59056211	0.018274347	0.022900763	0.36826278	Baseball
Baseballk	0.589405505	0.018505667	0.02185982	0.370229008	Baseball
