analysis_id	TP	FP	FN	TN	dataset
Lung cancer	0.004724765	0.038377974	0.031512748	0.925380934	LungC
Lung cancer	0.039323068	0.070474411	0.031881537	0.858320984	LungC
Lung cancer	0.039230004	0.070338395	0.031835005	0.858596597	LungC
Cell	0.027128056	0.046576001	0.056485117	0.869810826	Cell
Cell	0.067495381	0.029894887	0.032077758	0.870531975	Cell
Cell	0.071999524	0.03062332	0.030965684	0.866411472	Cell
PLOS	0.001495066	0.036977973	0.035582577	0.925944384	PLOS
PLOS	0.006079936	0.042360211	0.025117114	0.926442739	PLOS
PLOS	0.005980265	0.041662514	0.025615469	0.926741752	PLOS
Micro full (reshef)	0.010892283	0.022674333	0.035489849	0.930943535	Micro
Micro full (reshef)	0.0416666	0.010978431	0.015109976	0.932244993	Micro
Micro full (reshef)	0.041414981	0.011204933	0.014716576	0.93266351	Micro
