analysis_id,parameter,fold_value,infln,seed,class,sample_size,corr_strength,indicator,Method
p_1_pearson_False_0_NP_50_0.28,p,1,False,0,NP,50,0.28,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.29,p,1,False,0,NP,50,0.29,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.3,p,1,False,0,NP,50,0.3,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.31,p,1,False,0,NP,50,0.31,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.32,p,1,False,0,NP,50,0.32,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.33,p,1,False,0,NP,50,0.33,0.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.34,p,1,False,0,NP,50,0.34,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.35,p,1,False,0,NP,50,0.35,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.36,p,1,False,0,NP,50,0.36,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.37,p,1,False,0,NP,50,0.37,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.38,p,1,False,0,NP,50,0.38,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.39,p,1,False,0,NP,50,0.39,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.4,p,1,False,0,NP,50,0.4,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.41,p,1,False,0,NP,50,0.41,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.42,p,1,False,0,NP,50,0.42,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.43,p,1,False,0,NP,50,0.43,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.44,p,1,False,0,NP,50,0.44,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.45,p,1,False,0,NP,50,0.45,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.46,p,1,False,0,NP,50,0.46,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.47,p,1,False,0,NP,50,0.47,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.48,p,1,False,0,NP,50,0.48,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.49,p,1,False,0,NP,50,0.49,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.5,p,1,False,0,NP,50,0.5,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.51,p,1,False,0,NP,50,0.51,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.52,p,1,False,0,NP,50,0.52,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.53,p,1,False,0,NP,50,0.53,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.54,p,1,False,0,NP,50,0.54,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.55,p,1,False,0,NP,50,0.55,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.56,p,1,False,0,NP,50,0.56,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.57,p,1,False,0,NP,50,0.57,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.58,p,1,False,0,NP,50,0.58,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.59,p,1,False,0,NP,50,0.59,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.6,p,1,False,0,NP,50,0.6,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.61,p,1,False,0,NP,50,0.61,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.62,p,1,False,0,NP,50,0.62,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.63,p,1,False,0,NP,50,0.63,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.64,p,1,False,0,NP,50,0.64,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.65,p,1,False,0,NP,50,0.65,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.66,p,1,False,0,NP,50,0.66,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.67,p,1,False,0,NP,50,0.67,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.68,p,1,False,0,NP,50,0.68,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.69,p,1,False,0,NP,50,0.69,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.7,p,1,False,0,NP,50,0.7,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.71,p,1,False,0,NP,50,0.71,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.72,p,1,False,0,NP,50,0.72,1.0,CUTIE (p < 0.05)
p_1_pearson_False_0_NP_50_0.73,p,1,False,0,NP,50,0.73,1.0,CUTIE (p < 0.05)
